"Group","Comparison","p_value","mean_combo","mean_single","sd_single","p_adj"
"Phe+Ile","Combo vs Iso.8mM",0.0012300178719029,0.0655178353332017,0.269367470919806,0.054031023070954,0.00738010723141742
"Phe+Ile","Combo vs Phe.8mM",0.0551985653122475,0.0655178353332017,0.242395921591269,0.120806937445906,0.066238278374697
"Phe+Thr","Combo vs Phe.8mM",0.0271031821081225,-0.00222065111239401,0.242395921591269,0.120806937445906,0.0406547731621838
"Phe+Thr","Combo vs Thr.8mM",0.00573128193613123,-0.00222065111239401,0.564045082016809,0.159381289337218,0.0171938458083937
"Thr+Ile","Combo vs Iso.8mM",0.5771429499926,0.229626081634887,0.269367470919806,0.054031023070954,0.5771429499926
"Thr+Ile","Combo vs Thr.8mM",0.0171806986560384,0.229626081634887,0.564045082016809,0.159381289337218,0.0343613973120769
