"Metabolite"	"Concentration"	"Time"	"Growth"
"Ile"	"10 mM"	22.5	0.710055556
"Ile"	"10 mM"	23	0.743866667
"Ile"	"10 mM"	23.5	0.777266667
"Ile"	"10 mM"	24	0.808366667
"Ile"	"10 mM"	24.5	0.8364
"Ile"	"10 mM"	25	0.861522222
"Ile"	"10 mM"	25.5	0.884255556
"Ile"	"10 mM"	26	0.904944444
"Ile"	"10 mM"	26.5	0.924166667
"Ile"	"10 mM"	27	0.939744444
"Ile"	"10 mM"	27.5	0.954522222
"Ile"	"10 mM"	28	0.967955556
"Ile"	"10 mM"	28.5	0.979444444
"Ile"	"10 mM"	29	0.990633333
"Ile"	"10 mM"	29.5	1.000588889
"Ile"	"10 mM"	30	1.010011111
"Ile"	"10 mM"	30.5	1.018722222
"Ile"	"10 mM"	31	1.026844444
"Ile"	"10 mM"	31.5	1.034788889
"Ile"	"10 mM"	32	1.041311111
"Ile"	"10 mM"	32.5	1.0472
"Ile"	"10 mM"	33	1.052755556
"Ile"	"10 mM"	33.5	1.0584
"Ile"	"10 mM"	34	1.062588889
"Ile"	"10 mM"	34.5	1.0662
"Ile"	"10 mM"	35	1.070411111
"Ile"	"10 mM"	35.5	1.072422222
"Ile"	"10 mM"	36	1.076222222
"Ile"	"10 mM"	36.5	1.078011111
"Ile"	"10 mM"	37	1.080377778
"Ile"	"10 mM"	37.5	1.082077778
"Ile"	"10 mM"	38	1.082833333
"Ile"	"10 mM"	38.5	1.0837
"Ile"	"10 mM"	39	1.084022222
"Ile"	"10 mM"	39.5	1.083222222
"Ile"	"10 mM"	40	1.082077778
"Ile"	"12 mM"	0	0.001844444
"Ile"	"12 mM"	0.5	0.001677778
"Ile"	"12 mM"	1	0.002077778
"Ile"	"12 mM"	1.5	0.001822222
"Ile"	"12 mM"	2	0.002388889
"Ile"	"12 mM"	2.5	0.002288889
"Ile"	"12 mM"	3	0.002166667
"Ile"	"12 mM"	3.5	0.002355556
"Ile"	"12 mM"	4	0.002366667
"Ile"	"12 mM"	4.5	0.002544444
"Ile"	"12 mM"	5	0.002122222
"Ile"	"12 mM"	5.5	0.0026
"Ile"	"12 mM"	6	0.002777778
"Ile"	"12 mM"	6.5	0.002611111
"Ile"	"12 mM"	7	0.003211111
"Ile"	"12 mM"	7.5	0.002877778
"Ile"	"12 mM"	8	0.003
"Ile"	"12 mM"	8.5	0.0034
"Ile"	"12 mM"	9	0.003788889
"Ile"	"12 mM"	9.5	0.004022222
"Ile"	"12 mM"	10	0.004622222
"Ile"	"12 mM"	10.5	0.0047
"Ile"	"12 mM"	11	0.005033333
"Ile"	"12 mM"	11.5	0.005744444
"Ile"	"12 mM"	12	0.006088889
"Ile"	"12 mM"	12.5	0.007166667
"Ile"	"12 mM"	13	0.007944444
"Ile"	"12 mM"	13.5	0.009022222
"Ile"	"12 mM"	14	0.010666667
"Ile"	"12 mM"	14.5	0.011955556
"Ile"	"12 mM"	15	0.0141
"Ile"	"12 mM"	15.5	0.015711111
"Ile"	"12 mM"	16	0.018322222
"Ile"	"12 mM"	16.5	0.021377778
"Ile"	"12 mM"	17	0.024744444
"Ile"	"12 mM"	17.5	0.028755556
"Ile"	"12 mM"	18	0.0337
"Ile"	"12 mM"	18.5	0.040333333
"Ile"	"12 mM"	19	0.049
"Ile"	"12 mM"	19.5	0.060566667
"Ile"	"12 mM"	20	0.075277778
"Ile"	"12 mM"	20.5	0.095122222
"Ile"	"12 mM"	21	0.118311111
"Ile"	"12 mM"	21.5	0.141277778
"Ile"	"12 mM"	22	0.166422222
"Ile"	"12 mM"	22.5	0.193822222
"Ile"	"12 mM"	23	0.221666667
"Ile"	"12 mM"	23.5	0.248966667
"Ile"	"12 mM"	24	0.2766
"Ile"	"12 mM"	24.5	0.305433333
"Ile"	"12 mM"	25	0.333388889
"Ile"	"12 mM"	25.5	0.361955556
"Ile"	"12 mM"	26	0.390544444
"Ile"	"12 mM"	26.5	0.419066667
"Ile"	"12 mM"	27	0.447177778
"Ile"	"12 mM"	27.5	0.474822222
"Ile"	"12 mM"	28	0.501788889
"Ile"	"12 mM"	28.5	0.527844444
"Ile"	"12 mM"	29	0.552833333
"Ile"	"12 mM"	29.5	0.576522222
"Ile"	"12 mM"	30	0.599311111
"Ile"	"12 mM"	30.5	0.620155556
"Ile"	"12 mM"	31	0.639644444
"Ile"	"12 mM"	31.5	0.657388889
"Ile"	"12 mM"	32	0.674244444
"Ile"	"12 mM"	32.5	0.689333333
"Ile"	"12 mM"	33	0.703688889
"Ile"	"12 mM"	33.5	0.715833333
"Ile"	"12 mM"	34	0.728222222
"Ile"	"12 mM"	34.5	0.737933333
"Ile"	"12 mM"	35	0.747544444
"Ile"	"12 mM"	35.5	0.757022222
"Ile"	"12 mM"	36	0.764455556
"Ile"	"12 mM"	36.5	0.772811111
"Ile"	"12 mM"	37	0.780177778
"Ile"	"12 mM"	37.5	0.786411111
"Ile"	"12 mM"	38	0.792833333
"Ile"	"12 mM"	38.5	0.798033333
"Ile"	"12 mM"	39	0.803888889
"Ile"	"12 mM"	39.5	0.809488889
"Ile"	"12 mM"	40	0.813244444
"Ile"	"14 mM"	0	0.002244444
"Ile"	"14 mM"	0.5	0.002411111
"Ile"	"14 mM"	1	0.002544444
"Ile"	"14 mM"	1.5	0.002588889
"Ile"	"14 mM"	2	0.003155556
"Ile"	"14 mM"	2.5	0.002722222
"Ile"	"14 mM"	3	0.0028
"Ile"	"14 mM"	3.5	0.002988889
"Ile"	"14 mM"	4	0.003033333
"Ile"	"14 mM"	4.5	0.003244444
"Ile"	"14 mM"	5	0.002955556
"Ile"	"14 mM"	5.5	0.003333333
"Ile"	"14 mM"	6	0.003177778
"Ile"	"14 mM"	6.5	0.003177778
"Ile"	"14 mM"	7	0.003677778
"Ile"	"14 mM"	7.5	0.003477778
"Ile"	"14 mM"	8	0.003366667
"Ile"	"14 mM"	8.5	0.003733333
"Ile"	"14 mM"	9	0.003988889
"Ile"	"14 mM"	9.5	0.003922222
"Ile"	"14 mM"	10	0.004155556
"Ile"	"14 mM"	10.5	0.0042
"Ile"	"14 mM"	11	0.004133333
"Ile"	"14 mM"	11.5	0.004444444
"Ile"	"14 mM"	12	0.004255556
"Ile"	"14 mM"	12.5	0.004566667
"Ile"	"14 mM"	13	0.004777778
"Ile"	"14 mM"	13.5	0.004922222
"Ile"	"14 mM"	14	0.0053
"Ile"	"14 mM"	14.5	0.005522222
"Ile"	"14 mM"	15	0.006
"Ile"	"14 mM"	15.5	0.005877778
"Ile"	"14 mM"	16	0.006488889
"Ile"	"14 mM"	16.5	0.006744444
"Ile"	"14 mM"	17	0.007011111
"Ile"	"14 mM"	17.5	0.007422222
"Ile"	"14 mM"	18	0.007966667
"Ile"	"14 mM"	18.5	0.0086
"Ile"	"14 mM"	19	0.0095
"Ile"	"14 mM"	19.5	0.009933333
"Ile"	"14 mM"	20	0.010911111
"Ile"	"14 mM"	20.5	0.011755556
"Ile"	"14 mM"	21	0.012977778
"Ile"	"14 mM"	21.5	0.014077778
"Ile"	"14 mM"	22	0.015022222
"Ile"	"14 mM"	22.5	0.016488889
"Ile"	"14 mM"	23	0.017833333
"Ile"	"14 mM"	23.5	0.019266667
"Ile"	"14 mM"	24	0.020833333
"Ile"	"14 mM"	24.5	0.0229
"Ile"	"14 mM"	25	0.025155556
"Ile"	"14 mM"	25.5	0.027455556
"Ile"	"14 mM"	26	0.029777778
"Ile"	"14 mM"	26.5	0.0327
"Ile"	"14 mM"	27	0.035777778
"Ile"	"14 mM"	27.5	0.038988889
"Ile"	"14 mM"	28	0.043522222
"Ile"	"14 mM"	28.5	0.048411111
"Ile"	"14 mM"	29	0.053966667
"Ile"	"14 mM"	29.5	0.060522222
"Ile"	"14 mM"	30	0.066844444
"Ile"	"14 mM"	30.5	0.074522222
"Ile"	"14 mM"	31	0.082344444
"Ile"	"14 mM"	31.5	0.090588889
"Ile"	"14 mM"	32	0.099177778
"Ile"	"14 mM"	32.5	0.107333333
"Ile"	"14 mM"	33	0.116488889
"Ile"	"14 mM"	33.5	0.124333333
"Ile"	"14 mM"	34	0.133322222
"Ile"	"14 mM"	34.5	0.142566667
"Ile"	"14 mM"	35	0.151077778
"Ile"	"14 mM"	35.5	0.160588889
"Ile"	"14 mM"	36	0.167622222
"Ile"	"14 mM"	36.5	0.175977778
"Ile"	"14 mM"	37	0.184477778
"Ile"	"14 mM"	37.5	0.192977778
"Ile"	"14 mM"	38	0.201
"Ile"	"14 mM"	38.5	0.208866667
"Ile"	"14 mM"	39	0.215888889
"Ile"	"14 mM"	39.5	0.223488889
"Ile"	"14 mM"	40	0.230444444
