"Strain"	"Dose"	"Time"	"OD"
"aro4Δ"	0.3	25.5	1.0493
"aro4Δ"	0.6	25.5	0.583666667
"aro4Δ"	0.9	25.5	0.240366667
"aro4Δ"	1.2	25.5	0.102333333
"aro4Δ"	1.5	25.5	0.0604
"WT"	0	25.5	1.3665
"WT"	0.1	25.5	1.487833333
"WT"	0.3	25.5	1.527933333
"WT"	0.6	25.5	1.562933333
"WT"	0.9	25.5	1.62
"WT"	1.2	25.5	1.623866667
"WT"	1.5	25.5	1.653666667
"aro4Δ"	0	26	1.327633333
"aro4Δ"	0.1	26	1.2747
"aro4Δ"	0.3	26	1.104633333
"aro4Δ"	0.6	26	0.611866667
"aro4Δ"	0.9	26	0.250066667
"aro4Δ"	1.2	26	0.105766667
"aro4Δ"	1.5	26	0.062333333
"WT"	0	26	1.374033333
"WT"	0.1	26	1.494166667
"WT"	0.3	26	1.533466667
"WT"	0.6	26	1.567166667
"WT"	0.9	26	1.6217
"WT"	1.2	26	1.624633333
"WT"	1.5	26	1.653666667
"aro4Δ"	0	26.5	1.3347
"aro4Δ"	0.1	26.5	1.296866667
"aro4Δ"	0.3	26.5	1.1566
"aro4Δ"	0.6	26.5	0.637066667
"aro4Δ"	0.9	26.5	0.258466667
"aro4Δ"	1.2	26.5	0.1083
"aro4Δ"	1.5	26.5	0.0631
"WT"	0	26.5	1.381233333
"WT"	0.1	26.5	1.5002
"WT"	0.3	26.5	1.538533333
"WT"	0.6	26.5	1.570766667
"WT"	0.9	26.5	1.623033333
"WT"	1.2	26.5	1.623966667
"WT"	1.5	26.5	1.6535
"aro4Δ"	0	27	1.3418
"aro4Δ"	0.1	27	1.312966667
"aro4Δ"	0.3	27	1.203933333
"aro4Δ"	0.6	27	0.660033333
"aro4Δ"	0.9	27	0.268
"aro4Δ"	1.2	27	0.111833333
"aro4Δ"	1.5	27	0.0651
"WT"	0	27	1.389166667
"WT"	0.1	27	1.5067
"WT"	0.3	27	1.543266667
"WT"	0.6	27	1.573633333
"WT"	0.9	27	1.623166667
"WT"	1.2	27	1.624466667
"WT"	1.5	27	1.653533333
"aro4Δ"	0	27.5	1.347433333
"aro4Δ"	0.1	27.5	1.325433333
"aro4Δ"	0.3	27.5	1.248166667
"aro4Δ"	0.6	27.5	0.680866667
"aro4Δ"	0.9	27.5	0.2747
"aro4Δ"	1.2	27.5	0.113666667
"aro4Δ"	1.5	27.5	0.0656
"WT"	0	27.5	1.395033333
"WT"	0.1	27.5	1.5104
"WT"	0.3	27.5	1.5465
"WT"	0.6	27.5	1.574833333
"WT"	0.9	27.5	1.623333333
"WT"	1.2	27.5	1.624066667
"WT"	1.5	27.5	1.653633333
"aro4Δ"	0	28	1.354633333
"aro4Δ"	0.1	28	1.3422
"aro4Δ"	0.3	28	1.2929
"aro4Δ"	0.6	28	0.702033333
"aro4Δ"	0.9	28	0.283866667
"aro4Δ"	1.2	28	0.116866667
"aro4Δ"	1.5	28	0.067366667
"WT"	0	28	1.4017
"WT"	0.1	28	1.516066667
"WT"	0.3	28	1.548933333
"WT"	0.6	28	1.5744
"WT"	0.9	28	1.624033333
"WT"	1.2	28	1.625533333
"WT"	1.5	28	1.654533333
"aro4Δ"	0	28.5	1.3605
"aro4Δ"	0.1	28.5	1.352966667
"aro4Δ"	0.3	28.5	1.330033333
"aro4Δ"	0.6	28.5	0.722533333
"aro4Δ"	0.9	28.5	0.2915
"aro4Δ"	1.2	28.5	0.1196
"aro4Δ"	1.5	28.5	0.0688
"WT"	0	28.5	1.407333333
"WT"	0.1	28.5	1.519966667
"WT"	0.3	28.5	1.5506
"WT"	0.6	28.5	1.5744
"WT"	0.9	28.5	1.6238
"WT"	1.2	28.5	1.626366667
"WT"	1.5	28.5	1.655633333
"aro4Δ"	0	29	1.365633333
"aro4Δ"	0.1	29	1.3619
"aro4Δ"	0.3	29	1.3632
"aro4Δ"	0.6	29	0.740866667
"aro4Δ"	0.9	29	0.2992
"aro4Δ"	1.2	29	0.122433333
"aro4Δ"	1.5	29	0.070333333
"WT"	0	29	1.411766667
"WT"	0.1	29	1.5234
"WT"	0.3	29	1.551366667
"WT"	0.6	29	1.5746
"WT"	0.9	29	1.6259
"WT"	1.2	29	1.627966667
"WT"	1.5	29	1.656533333
"aro4Δ"	0	29.5	1.3691
"aro4Δ"	0.1	29.5	1.369233333
"aro4Δ"	0.3	29.5	1.393566667
"aro4Δ"	0.6	29.5	0.7604
"aro4Δ"	0.9	29.5	0.3049
"aro4Δ"	1.2	29.5	0.124166667
"aro4Δ"	1.5	29.5	0.0711
"WT"	0	29.5	1.415133333
"WT"	0.1	29.5	1.525366667
"WT"	0.3	29.5	1.550733333
"WT"	0.6	29.5	1.574133333
"WT"	0.9	29.5	1.6264
"WT"	1.2	29.5	1.629333333
"WT"	1.5	29.5	1.656933333
"aro4Δ"	0	30	1.376133333
"aro4Δ"	0.1	30	1.3802
"aro4Δ"	0.3	30	1.420033333
"aro4Δ"	0.6	30	0.778333333
"aro4Δ"	0.9	30	0.312833333
"aro4Δ"	1.2	30	0.127833333
"aro4Δ"	1.5	30	0.073133333
"WT"	0	30	1.419766667
"WT"	0.1	30	1.528033333
"WT"	0.3	30	1.550833333
"WT"	0.6	30	1.575633333
"WT"	0.9	30	1.629
"WT"	1.2	30	1.631266667
"WT"	1.5	30	1.6586
"aro4Δ"	0	30.5	1.3781
"aro4Δ"	0.1	30.5	1.3845
"aro4Δ"	0.3	30.5	1.440433333
"aro4Δ"	0.6	30.5	0.793066667
"aro4Δ"	0.9	30.5	0.318566667
"aro4Δ"	1.2	30.5	0.130266667
"aro4Δ"	1.5	30.5	0.074833333
"WT"	0	30.5	1.423466667
"WT"	0.1	30.5	1.529833333
"WT"	0.3	30.5	1.551766667
"WT"	0.6	30.5	1.577266667
"WT"	0.9	30.5	1.6312
"WT"	1.2	30.5	1.633
"WT"	1.5	30.5	1.660466667
"aro4Δ"	0	31	1.383466667
"aro4Δ"	0.1	31	1.3926
"aro4Δ"	0.3	31	1.460866667
"aro4Δ"	0.6	31	0.810033333
"aro4Δ"	0.9	31	0.3253
"aro4Δ"	1.2	31	0.132633333
"aro4Δ"	1.5	31	0.076333333
"WT"	0	31	1.426066667
"WT"	0.1	31	1.5295
"WT"	0.3	31	1.5524
"WT"	0.6	31	1.579266667
"WT"	0.9	31	1.632833333
"WT"	1.2	31	1.634033333
"WT"	1.5	31	1.6609
"aro4Δ"	0	31.5	1.3878
"aro4Δ"	0.1	31.5	1.396266667
"aro4Δ"	0.3	31.5	1.479066667
"aro4Δ"	0.6	31.5	0.827866667
"aro4Δ"	0.9	31.5	0.3309
"aro4Δ"	1.2	31.5	0.134866667
"aro4Δ"	1.5	31.5	0.0776
"WT"	0	31.5	1.4271
"WT"	0.1	31.5	1.5289
"WT"	0.3	31.5	1.552633333
"WT"	0.6	31.5	1.5808
"WT"	0.9	31.5	1.633233333
"WT"	1.2	31.5	1.6338
"WT"	1.5	31.5	1.6613
"aro4Δ"	0	32	1.391366667
"aro4Δ"	0.1	32	1.404033333
"aro4Δ"	0.3	32	1.4924
"aro4Δ"	0.6	32	0.8397
"aro4Δ"	0.9	32	0.3361
"aro4Δ"	1.2	32	0.1379
"aro4Δ"	1.5	32	0.0795
"WT"	0	32	1.429233333
"WT"	0.1	32	1.53
"WT"	0.3	32	1.554766667
"WT"	0.6	32	1.583933333
"WT"	0.9	32	1.635433333
"WT"	1.2	32	1.6362
"WT"	1.5	32	1.662566667
"aro4Δ"	0	32.5	1.395333333
"aro4Δ"	0.1	32.5	1.407333333
"aro4Δ"	0.3	32.5	1.5045
"aro4Δ"	0.6	32.5	0.853933333
"aro4Δ"	0.9	32.5	0.341466667
"aro4Δ"	1.2	32.5	0.1402
"aro4Δ"	1.5	32.5	0.081533333
"WT"	0	32.5	1.429933333
"WT"	0.1	32.5	1.530633333
"WT"	0.3	32.5	1.556866667
"WT"	0.6	32.5	1.5865
"WT"	0.9	32.5	1.636966667
"WT"	1.2	32.5	1.637166667
"WT"	1.5	32.5	1.6643
"aro4Δ"	0	33	1.4005
"aro4Δ"	0.1	33	1.415433333
"aro4Δ"	0.3	33	1.517533333
"aro4Δ"	0.6	33	0.869133333
"aro4Δ"	0.9	33	0.347866667
"aro4Δ"	1.2	33	0.1435
"aro4Δ"	1.5	33	0.0827
"WT"	0	33	1.430466667
"WT"	0.1	33	1.532333333
"WT"	0.3	33	1.559933333
"WT"	0.6	33	1.5883
"WT"	0.9	33	1.638533333
"WT"	1.2	33	1.639033333
"WT"	1.5	33	1.665733333
"aro4Δ"	0	33.5	1.4011
"aro4Δ"	0.1	33.5	1.417233333
"aro4Δ"	0.3	33.5	1.524966667
"aro4Δ"	0.6	33.5	0.880933333
"aro4Δ"	0.9	33.5	0.350633333
"aro4Δ"	1.2	33.5	0.1456
"aro4Δ"	1.5	33.5	0.084333333
"WT"	0	33.5	1.4291
"WT"	0.1	33.5	1.534033333
"WT"	0.3	33.5	1.5626
"WT"	0.6	33.5	1.5903
"WT"	0.9	33.5	1.6397
"WT"	1.2	33.5	1.6405
"WT"	1.5	33.5	1.666933333
"aro4Δ"	0	34	1.405666667
"aro4Δ"	0.1	34	1.4206
"aro4Δ"	0.3	34	1.533633333
"aro4Δ"	0.6	34	0.894066667
"aro4Δ"	0.9	34	0.356133333
"aro4Δ"	1.2	34	0.148533333
"aro4Δ"	1.5	34	0.086833333
"WT"	0	34	1.429766667
"WT"	0.1	34	1.5356
"WT"	0.3	34	1.564666667
"WT"	0.6	34	1.591033333
"WT"	0.9	34	1.6399
"WT"	1.2	34	1.641566667
"WT"	1.5	34	1.668133333
"aro4Δ"	0	34.5	1.409333333
"aro4Δ"	0.1	34.5	1.426466667
"aro4Δ"	0.3	34.5	1.541
"aro4Δ"	0.6	34.5	0.906866667
"aro4Δ"	0.9	34.5	0.361033333
"aro4Δ"	1.2	34.5	0.151466667
"aro4Δ"	1.5	34.5	0.0884
"WT"	0	34.5	1.429133333
"WT"	0.1	34.5	1.539266667
"WT"	0.3	34.5	1.567066667
"WT"	0.6	34.5	1.593133333
"WT"	0.9	34.5	1.641933333
"WT"	1.2	34.5	1.643333333
"WT"	1.5	34.5	1.670366667
"aro4Δ"	0	35	1.411833333
"aro4Δ"	0.1	35	1.430233333
"aro4Δ"	0.3	35	1.546933333
"aro4Δ"	0.6	35	0.916733333
"aro4Δ"	0.9	35	0.365433333
"aro4Δ"	1.2	35	0.154666667
"aro4Δ"	1.5	35	0.089933333
"WT"	0	35	1.4306
"WT"	0.1	35	1.542633333
"WT"	0.3	35	1.5691
"WT"	0.6	35	1.594766667
"WT"	0.9	35	1.643933333
"WT"	1.2	35	1.6455
"WT"	1.5	35	1.672
"aro4Δ"	0	35.5	1.415833333
"aro4Δ"	0.1	35.5	1.4344
"aro4Δ"	0.3	35.5	1.5516
"aro4Δ"	0.6	35.5	0.928933333
"aro4Δ"	0.9	35.5	0.370233333
"aro4Δ"	1.2	35.5	0.157933333
"aro4Δ"	1.5	35.5	0.091766667
"WT"	0	35.5	1.431733333
"WT"	0.1	35.5	1.545966667
"WT"	0.3	35.5	1.5712
"WT"	0.6	35.5	1.596166667
"WT"	0.9	35.5	1.646066667
"WT"	1.2	35.5	1.647233333
"WT"	1.5	35.5	1.674033333
"aro4Δ"	0	36	1.416633333
"aro4Δ"	0.1	36	1.4371
"aro4Δ"	0.3	36	1.5551
"aro4Δ"	0.6	36	0.938633333
"aro4Δ"	0.9	36	0.374166667
"aro4Δ"	1.2	36	0.161566667
"aro4Δ"	1.5	36	0.094233333
"WT"	0	36	1.434166667
"WT"	0.1	36	1.5494
"WT"	0.3	36	1.573366667
"WT"	0.6	36	1.598066667
"WT"	0.9	36	1.6486
"WT"	1.2	36	1.649866667
"WT"	1.5	36	1.676866667
"aro4Δ"	0	36.5	1.419166667
"aro4Δ"	0.1	36.5	1.441166667
"aro4Δ"	0.3	36.5	1.5592
"aro4Δ"	0.6	36.5	0.948433333
"aro4Δ"	0.9	36.5	0.3776
"aro4Δ"	1.2	36.5	0.164433333
"aro4Δ"	1.5	36.5	0.096133333
"WT"	0	36.5	1.4354
"WT"	0.1	36.5	1.5519
"WT"	0.3	36.5	1.575166667
"WT"	0.6	36.5	1.600466667
"WT"	0.9	36.5	1.649466667
"WT"	1.2	36.5	1.6512
"WT"	1.5	36.5	1.6783
"aro4Δ"	0	37	1.422633333
"aro4Δ"	0.1	37	1.445266667
"aro4Δ"	0.3	37	1.5629
"aro4Δ"	0.6	37	0.9583
"aro4Δ"	0.9	37	0.382833333
"aro4Δ"	1.2	37	0.1679
"aro4Δ"	1.5	37	0.098233333
"WT"	0	37	1.441833333
"WT"	0.1	37	1.555
"WT"	0.3	37	1.577833333
"WT"	0.6	37	1.6019
"WT"	0.9	37	1.652733333
"WT"	1.2	37	1.6542
"WT"	1.5	37	1.680566667
"aro4Δ"	0	37.5	1.4233
"aro4Δ"	0.1	37.5	1.447333333
"aro4Δ"	0.3	37.5	1.565133333
"aro4Δ"	0.6	37.5	0.966766667
"aro4Δ"	0.9	37.5	0.386733333
"aro4Δ"	1.2	37.5	0.172
"aro4Δ"	1.5	37.5	0.100466667
"WT"	0	37.5	1.4451
"WT"	0.1	37.5	1.5573
"WT"	0.3	37.5	1.580133333
"WT"	0.6	37.5	1.604033333
"WT"	0.9	37.5	1.654466667
"WT"	1.2	37.5	1.656133333
"WT"	1.5	37.5	1.682333333
"aro4Δ"	0	38	1.425866667
"aro4Δ"	0.1	38	1.449233333
"aro4Δ"	0.3	38	1.5669
"aro4Δ"	0.6	38	0.975933333
"aro4Δ"	0.9	38	0.391766667
"aro4Δ"	1.2	38	0.176366667
"aro4Δ"	1.5	38	0.103066667
"WT"	0	38	1.448533333
"WT"	0.1	38	1.559666667
"WT"	0.3	38	1.582333333
"WT"	0.6	38	1.606833333
"WT"	0.9	38	1.6567
"WT"	1.2	38	1.658566667
"WT"	1.5	38	1.684333333
"aro4Δ"	0	38.5	1.4265
"aro4Δ"	0.1	38.5	1.451666667
"aro4Δ"	0.3	38.5	1.5678
"aro4Δ"	0.6	38.5	0.981066667
"aro4Δ"	0.9	38.5	0.394933333
"aro4Δ"	1.2	38.5	0.1801
"aro4Δ"	1.5	38.5	0.1066
"WT"	0	38.5	1.450566667
"WT"	0.1	38.5	1.5608
"WT"	0.3	38.5	1.583266667
"WT"	0.6	38.5	1.607833333
"WT"	0.9	38.5	1.658466667
"WT"	1.2	38.5	1.660266667
"WT"	1.5	38.5	1.685566667
"aro4Δ"	0	39	1.430133333
"aro4Δ"	0.1	39	1.455733333
"aro4Δ"	0.3	39	1.569733333
"aro4Δ"	0.6	39	0.9907
"aro4Δ"	0.9	39	0.4003
"aro4Δ"	1.2	39	0.186366667
"aro4Δ"	1.5	39	0.110566667
"WT"	0	39	1.453666667
"WT"	0.1	39	1.5638
"WT"	0.3	39	1.5852
"WT"	0.6	39	1.612
"WT"	0.9	39	1.6613
"WT"	1.2	39	1.662933333
"WT"	1.5	39	1.688233333
"aro4Δ"	0	39.5	1.431433333
"aro4Δ"	0.1	39.5	1.456666667
"aro4Δ"	0.3	39.5	1.5712
"aro4Δ"	0.6	39.5	0.997933333
"aro4Δ"	0.9	39.5	0.402666667
"aro4Δ"	1.2	39.5	0.190466667
"aro4Δ"	1.5	39.5	0.113866667
"WT"	0	39.5	1.4599
"WT"	0.1	39.5	1.567333333
"WT"	0.3	39.5	1.588533333
"WT"	0.6	39.5	1.615
"WT"	0.9	39.5	1.664233333
"WT"	1.2	39.5	1.6671
"WT"	1.5	39.5	1.6927
"aro4Δ"	0	40	1.435
"aro4Δ"	0.1	40	1.458866667
"aro4Δ"	0.3	40	1.571033333
"aro4Δ"	0.6	40	1.003566667
"aro4Δ"	0.9	40	0.406433333
"aro4Δ"	1.2	40	0.194166667
"aro4Δ"	1.5	40	0.116166667
"WT"	0	40	1.4642
"WT"	0.1	40	1.5703
"WT"	0.3	40	1.5912
"WT"	0.6	40	1.618933333
"WT"	0.9	40	1.668233333
"WT"	1.2	40	1.6706
"WT"	1.5	40	1.695933333
"aro4Δ"	0	40.5	1.437
"aro4Δ"	0.1	40.5	1.461933333
"aro4Δ"	0.3	40.5	1.572833333
"aro4Δ"	0.6	40.5	1.011166667
"aro4Δ"	0.9	40.5	0.4097
"aro4Δ"	1.2	40.5	0.1996
"aro4Δ"	1.5	40.5	0.119966667
"WT"	0	40.5	1.470633333
"WT"	0.1	40.5	1.575333333
"WT"	0.3	40.5	1.595866667
"WT"	0.6	40.5	1.622866667
"WT"	0.9	40.5	1.673
"WT"	1.2	40.5	1.676066667
"WT"	1.5	40.5	1.701533333
