"Strain"	"Dose"	"Time"	"OD"
"aro4Δ"	0.1	5	0.0026
"aro4Δ"	0.3	5	0.003633333
"aro4Δ"	0.6	5	0.002533333
"aro4Δ"	0.9	5	0.002866667
"aro4Δ"	1.2	5	0.001166667
"aro4Δ"	1.5	5	0.000466667
"WT"	0	5	0.0041
"WT"	0.1	5	0.0043
"WT"	0.3	5	0.0061
"WT"	0.6	5	0.0045
"WT"	0.9	5	0.006266667
"WT"	1.2	5	0.005533333
"WT"	1.5	5	0.0041
"aro4Δ"	0	5.5	0.003333333
"aro4Δ"	0.1	5.5	0.003533333
"aro4Δ"	0.3	5.5	0.0032
"aro4Δ"	0.6	5.5	0.004266667
"aro4Δ"	0.9	5.5	0.003066667
"aro4Δ"	1.2	5.5	0.003466667
"aro4Δ"	1.5	5.5	0.001766667
"WT"	0	5.5	0.009733333
"WT"	0.1	5.5	0.006666667
"WT"	0.3	5.5	0.0081
"WT"	0.6	5.5	0.0066
"WT"	0.9	5.5	0.009166667
"WT"	1.2	5.5	0.008233333
"WT"	1.5	5.5	0.0072
"aro4Δ"	0	6	0.003766667
"aro4Δ"	0.1	6	0.003666667
"aro4Δ"	0.3	6	0.004433333
"aro4Δ"	0.6	6	0.0028
"aro4Δ"	0.9	6	0.003
"aro4Δ"	1.2	6	0.0028
"aro4Δ"	1.5	6	0.0014
"WT"	0	6	0.0063
"WT"	0.1	6	0.007166667
"WT"	0.3	6	0.009566667
"WT"	0.6	6	0.0081
"WT"	0.9	6	0.009366667
"WT"	1.2	6	0.01
"WT"	1.5	6	0.0074
"aro4Δ"	0	6.5	0.004833333
"aro4Δ"	0.1	6.5	0.004966667
"aro4Δ"	0.3	6.5	0.004733333
"aro4Δ"	0.6	6.5	0.003933333
"aro4Δ"	0.9	6.5	0.0034
"aro4Δ"	1.2	6.5	0.0026
"aro4Δ"	1.5	6.5	0.002
"WT"	0	6.5	0.0083
"WT"	0.1	6.5	0.009166667
"WT"	0.3	6.5	0.0118
"WT"	0.6	6.5	0.0105
"WT"	0.9	6.5	0.011233333
"WT"	1.2	6.5	0.011833333
"WT"	1.5	6.5	0.009333333
"aro4Δ"	0	7	0.005733333
"aro4Δ"	0.1	7	0.004933333
"aro4Δ"	0.3	7	0.0039
"aro4Δ"	0.6	7	0.0043
"aro4Δ"	0.9	7	0.0052
"aro4Δ"	1.2	7	0.002766667
"aro4Δ"	1.5	7	0.001833333
"WT"	0	7	0.012333333
"WT"	0.1	7	0.010966667
"WT"	0.3	7	0.014033333
"WT"	0.6	7	0.012433333
"WT"	0.9	7	0.0141
"WT"	1.2	7	0.013466667
"WT"	1.5	7	0.012
"aro4Δ"	0	7.5	0.0076
"aro4Δ"	0.1	7.5	0.005833333
"aro4Δ"	0.3	7.5	0.005133333
"aro4Δ"	0.6	7.5	0.005466667
"aro4Δ"	0.9	7.5	0.005066667
"aro4Δ"	1.2	7.5	0.004166667
"aro4Δ"	1.5	7.5	0.002933333
"WT"	0	7.5	0.014033333
"WT"	0.1	7.5	0.014366667
"WT"	0.3	7.5	0.017666667
"WT"	0.6	7.5	0.016433333
"WT"	0.9	7.5	0.017933333
"WT"	1.2	7.5	0.017666667
"WT"	1.5	7.5	0.014966667
"aro4Δ"	0	8	0.0093
"aro4Δ"	0.1	8	0.007166667
"aro4Δ"	0.3	8	0.006333333
"aro4Δ"	0.6	8	0.006366667
"aro4Δ"	0.9	8	0.005466667
"aro4Δ"	1.2	8	0.004633333
"aro4Δ"	1.5	8	0.003333333
"WT"	0	8	0.015466667
"WT"	0.1	8	0.017633333
"WT"	0.3	8	0.021966667
"WT"	0.6	8	0.0207
"WT"	0.9	8	0.021933333
"WT"	1.2	8	0.021733333
"WT"	1.5	8	0.018233333
"aro4Δ"	0	8.5	0.011366667
"aro4Δ"	0.1	8.5	0.008166667
"aro4Δ"	0.3	8.5	0.0073
"aro4Δ"	0.6	8.5	0.007233333
"aro4Δ"	0.9	8.5	0.007633333
"aro4Δ"	1.2	8.5	0.005166667
"aro4Δ"	1.5	8.5	0.004166667
"WT"	0	8.5	0.019166667
"WT"	0.1	8.5	0.021866667
"WT"	0.3	8.5	0.0275
"WT"	0.6	8.5	0.026266667
"WT"	0.9	8.5	0.027366667
"WT"	1.2	8.5	0.0267
"WT"	1.5	8.5	0.023633333
"aro4Δ"	0	9	0.0139
"aro4Δ"	0.1	9	0.009833333
"aro4Δ"	0.3	9	0.008
"aro4Δ"	0.6	9	0.007866667
"aro4Δ"	0.9	9	0.0071
"aro4Δ"	1.2	9	0.0059
"aro4Δ"	1.5	9	0.0047
"WT"	0	9	0.024633333
"WT"	0.1	9	0.027733333
"WT"	0.3	9	0.034533333
"WT"	0.6	9	0.034133333
"WT"	0.9	9	0.036266667
"WT"	1.2	9	0.0344
"WT"	1.5	9	0.0293
"aro4Δ"	0	9.5	0.016866667
"aro4Δ"	0.1	9.5	0.011466667
"aro4Δ"	0.3	9.5	0.009
"aro4Δ"	0.6	9.5	0.008733333
"aro4Δ"	0.9	9.5	0.007966667
"aro4Δ"	1.2	9.5	0.006266667
"aro4Δ"	1.5	9.5	0.005133333
"WT"	0	9.5	0.032366667
"WT"	0.1	9.5	0.0356
"WT"	0.3	9.5	0.044166667
"WT"	0.6	9.5	0.046366667
"WT"	0.9	9.5	0.0504
"WT"	1.2	9.5	0.0453
"WT"	1.5	9.5	0.038033333
"aro4Δ"	0	10	0.020333333
"aro4Δ"	0.1	10	0.013966667
